Rule,Semantic text,Improved version,Category,Sate
"IF (self, miss, turn), THEN (driving, until, turn)",if you miss a turn keep driving until you can safely and legall y turn around,,Vehicle Behavior,CA
"IF (self, block, intersection), THEN (self, get, ticket)",you may get a ticket if you block the intersection,,Vehicle Behavior,CA
"IF (self, miss, exit), THEN (continue, around, exit)",if you miss your exit continue around until you return to your exit,,Vehicle Behavior,CA
"IF (roundabout, hasA, lanes), THEN OR((self, choose, entr), (exit, on, destination))",if the roundabout has multiple lanes choose your entr y or exit lane based on your destination,,Vehicle Behavior,CA
"IF OR((lanes, isA, narrow), (shoulder, isA, closed)), THEN (Watch, for, bicycles)",watch for bicycles if lanes are narrow or the shoulder is closed,,Vehicle Behavior,CA
"IF (view, isA, blocked), THEN (move, until, see)",if your view is blocked move slowly forward until you can see,,Vehicle Behavior,CA
"IF (view, isA, blocked), THEN (vehicle, on, side)",if your view is blocked assume there is a vehicle on the other side,,Vehicle Behavior,CA
"IF AND((train, isA, approaching), (self, warning, lights)), THEN (self, exit, vehicle)",if a train is approaching and warning lights are immediately exit your vehicle,,Safety Hazards,CA
"IF (train, isA, approaching), THEN (proceed, with, caution)",if a train is not approaching proceed with caution,,Vehicle Behavior,TX
"IF (train, isA, approaching), THEN AND((remain, until, train), (lights, stop, flashing))",if a train is approaching remain stopped until the train passes and the lights stop flashing,,Road Signs,TX
"IF (self, isA, lane), THEN (self, merge, left)",if you are driving in the right lane you should merge into the left,,Vehicle Behavior,TX
"IF (self, using, hand), THEN AND((self, extend, hand), (arm, out, car))",if using hand signals extend your hand and arm well out of the car window as shown below,,Vehicle Behavior,TX
"IF (self, return, lane), THEN (Avoid, in, quickly)",avoid cutting in too quickly if you must return to your original lane,,Vehicle Behavior,TX
"IF (self, using, hand), THEN (signal, until, intersection)",if using a hand signal hold the signal until you are close enough to the intersection for others to know your intention,,Vehicle Behavior,TX
"IF (self, use, cell), THEN OR((self, pull, road), (self, use, headset))",if you must use a cell phone safely pull off the road or use a headset,,Vehicle Behavior,TX
"IF NOT(self, do, cloth), THEN (self, raise, hood)",if you do not have a white cloth raise your hood,,Safety Hazards,TX
"IF (youre, following, truck), THEN (blind spot, at, rear)",if youre following a truck stay out of its blind spot at the rear,,Vehicle Behavior,TX
"IF (truck, on, upgrade), THEN (space, in, case)",if you are stopped behind a truck on an upgrade leave space in case the truck drifts back when it starts to move,,Vehicle Behavior,TX
"IF (pass, on, right), THEN (self, avoid, crash)",to avoid a crash dont pass a truck on the right if there is a possibility the truck might make a right turn,,Vehicle Behavior,TX
"IF (self, make, call), THEN AND((self, pull, road), (self, make, call))",if you must make a call pull safely off the road and make the call,,Vehicle Behavior,TX
"IF (self, isA, curb), THEN OR((Stop, at, curb), (edge, of, road))",stop at the curb or the edge of the road if there is no curb,"IF (self, isA, curb), THEN OR((Stop, at, curb), (edge, of, road))",Vehicle Behavior,FL
"IF (self, hasA, time), THEN AND((self, reduce, speed), (self, sound, horn))",if you have time to avoid hitting an animal reduce your speed tap your brakes and sound your horn,"IF (self, hitting, animal), THEN AND((self, reduce, speed), (self, sound, horn))",Safety Hazards,FL
"IF (conditions, require, it), THEN (stop, at, YIELD)",you must come to a full stop at a yield sign if trac conditions require it,,Vehicle Behavior,NY
"IF (self, isA, intersection), THEN (drive, out, intersection)",if you are in an intersection drive out of the intersection before you pull over,,Vehicle Behavior,NY
"IF (courtesy, if, so), THEN (self, isA, right-of-way)",while you are not required to yield the you should yield as a courtesy if you can safely do so,,Vehicle Behavior,NY
"IF (self, see, train), THEN AND((wait, until, passes), (self, cross, tracks))",if you see a train coming wait until it passes and then cross the tracks when it is safe to do so,,Environmental Conditions,NY
"IF (vehicle, hasA, anti-lock), THEN (foot, with, pressure)",if your vehicle has brakes abs keep your foot with even pressure on the brake pedal,,Safety Hazards,NY
"IF NOT(vehicle, does, ABS), THEN (self, pump, pedal)",if your vehicle does not have abs pump the pedal carefully,,Safety Hazards,NY
"IF (tire, blows, out), THEN AND((self, hold, wheel), (foot, o, gas))",if a tire blows out hold the steering wheel tight and slowly take your foot o the gas pedal,,Safety Hazards,NY
"IF (BRAKE, If, brake), THEN (try, pumping, pres)",brake failure if your brake pedal suddenly goes to the oor try pumping it to increase pres sure,,Safety Hazards,NY
"IF (FIRE, If, hood), THEN AND((pull, o, road), (self, park, vehicle))",fire if you see smoke come from under the hood pull o the road and park your vehicle,,Safety Hazards,NY
"IF (self, drive, spots), THEN (self, isA, driver)",if you drive in these blind spots you can not be seen by the driver,"IF (self, drive, blind spots), THEN NOT (driver, sees, self)",Safety Hazards,NY
"IF (Blind, in, Back), THEN (chance, of, crash)",blind spots in back if you remain in the back blind spot of a large vehicle you increase the chance of a crash,,Safety Hazards,NY
"IF (self, see, someone), THEN (move, over, lane)",if you see someone following you too closely tailgating move over to the right lane if possible,"IF (self, see, someone following), THEN (move, over, lane)",Vehicle Behavior,PN
"IF (vehicle, toward, you), THEN (self, flash, beams)",if a vehicle using high beams comes toward you flash your high beams quickly a few times,,Safety Hazards,PN
"IF NOT(driver, does, lights), THEN (look, toward, side)",if the driver does not dim their lights look toward the right side of the road,,Safety Hazards,PN
"IF (fog, isA, see), THEN NOT(Do, start, trip)",do not start a trip if the fog is so dense you can not see,"IF (fog, is, dense), THEN NOT(Do, start, trip)",Safety Hazards,PN
"IF (self, isA, collision), THEN (stay, in, vehicle)",if you are involved in a collision whenever possible stay in your vehicle,,Safety Hazards,PN
"IF (center, from, cross), THEN AND((watch, for, traffic), (center, preparing, turn))",if entering the center lane from a cross street watch for through traffic and for center lane traffic preparing to turn,,Vehicle Behavior,PN
"IF (self, miss, exit), THEN (self, take, one)",if you miss your exit take the next one,,Vehicle Behavior,PN
"IF (traffic, of, you), THEN (wait, for, cross)",if traffic slows ahead of you wait for it to clear before starting to cross,"IF (traffic, ahead , you), THEN (wait, for, cross)",Environmental Conditions,PN
"IF (self, hit, brakes), THEN (skid, isA, worse)",if you hit the brakes the skid will be worse,,Safety Hazards,PN
"IF AND(NOT(vehicle, stop, stop), (danger, of, crashing)), THEN (ignition, OFF, resort)",turn your ignition off as a last resort if the vehicle still will not stop and you are in danger of crashing,,Safety Hazards,PN
"IF (FUNERAL, If, procession), THEN (yield, in, procession)",funeral procession if you see a funeral procession on the road yield to vehicles in the procession,,Environmental Conditions,PN
"IF (hazard, on, shoulder), THEN (use, controlled, wheels)",if you must brake to avoid a hazard on the shoulder use gradual controlled braking to avoid locking the wheels,,Environmental Conditions,PN
"IF (self, isA, collision), THEN (car, off, road)",if you are involved in a collision get your car off the road as quickly as possible,,Safety Hazards,OH
"IF NOT(self, move, vehicle), THEN AND((self, leave, flashers), AND((lights, on, on), (flares, if, them)))",if you can not move your vehicle leave your flashers and lights on and set up flares if you have them,,Safety Hazards,OH
"IF (self, isA, lanes), THEN (driver, reduce, speed)",if it is not safe to change lanes the driver should reduce speed when approaching and passing the disabled vehicle,,Vehicle Behavior,IL
"IF (intersection, isA, clear), THEN NOT(driver, does, stop)",if the intersection is clear the driver does not need to stop,,Vehicle behavior,IL
"IF (brakes, do, lock), THEN AND((self, release, brake), (self, reapply, pressure))",if the brakes do lock release the brake pedal and immediately reapply with slightly less pressure,,Safety Hazards,NJ
"IF (vehicle, off, pavement), THEN (Slow, onto, road)",if a vehicle runs off the pavement slow down regain control turn slowly onto the road defensive drivingpage,,Safety Hazards,NJ
"IF (shoulder, of, road), THEN NOT(motorist, brake, hard)",a motorist should not brake hard if turning onto a soft shoulder of a road,,Safety Hazards,NJ
"IF OR((self, following, motorcyclists), (bicyclists, If, motorcycle)), THEN (self, need, distance)",when following motorcyclists or bicyclists if the motorcycle or bicycle rider should fall you need extra distance to avoid the rider,,Vehicle Behavior,WA
"IF (self, isA, doubt), THEN AND((wait, until, sure), (self, isA, space))",if you are in doubt wait to pass until you are sure that there is enough space,,Vehicle Behavior,WA
"IF AND((self, isA, vehicle), NOT(self, see, drivers)), THEN NOT(driver, see, either)",if you are following a large vehicle and you can not see the drivers mirrors then the driver can not see you either,,Vehicle Behavior,WA
"IF (self, isA, intersection), THEN (self, continue, turn)",if you are already in the intersection you should continue your turn and clear the intersection safely,,Vehicle Behavior,AZ
"IF (car, does, hydroplane), THEN (foot, off, accelerator)",if your car does hydroplane take your foot off the accelerator,,Safety Hazards,AZ
"IF NOT(vehicle, does, anti-lock), THEN (self, Pump, brakes)",if a vehicle does not have brakes pump the brakes rapidly,,Safety Hazards,AZ
"IF (traffic, require, it), THEN (self, come, stop)",you must come to a complete stop if traffic conditions require it,,Vehicle Behavior,MA
"IF (room, for, safely), THEN OR((self, enter, intersection), (drive, across, crosswalk))",you may only enter an intersection or drive across a crosswalk if there is enough room for you to drive through safely,,Vehicle Behavior,MA
"IF NOT(driver, does, rules), THEN (self, give, right-of-way)",if another driver does not follow these rules you should always give the,,Vehicle Behavior,MA
"IF (rotary, hasA, lanes), THEN (look, for, signs)",if the rotary has multiple lanes look for signs to help you choose the proper lane,,Road Signs,MA
"IF NOT(vehicle, does, antilock), THEN (self, pump, brake)",if your vehicle does not have antilock brakes you should pump the brake pedal several times rapidly to build up brake fluid pressure,,Safety Hazards,MA
"IF (Stuck, If, gas), THEN AND((car, in, neutral), (press, slow, down))",stuck gas pedal if your gas pedal sticks put your car in neutral and press the brake pedal to slow down,,Safety Hazards,MA
"IF (gap, in, traffic), THEN (self, complete, turn)",if thereis a safe gap in oncoming traffic you may complete the turn,,Vehicle Behavior,QL
"IF (traffic, arrows, lane), THEN (direction, of, arrows)",if traffic lane arrows apply to the lane drivein the direction of the arrows,,Road Signs,QL
"IF (traffic, arrows, lane), THEN (drive, in, direction)",if traffic lane arrows apply to the lane drive in the direction of the arrows,,Road Signs,QL
"IF (arrows, indicate, directions), THEN (self, drive, directions)",if the arrows indicate two or more directions you may drive in any of the directions indicated,,Road Signs,QL
"IF (traffic, arrows, lane), THEN (drive, in, direction)",if traffic lane arrows apply to the lane drive in the direction of the arrows,,Road Signs,QL
